e,323.92283031611095
a,254.52504788330754
i,239.49739038244238
o,237.49736840647307
r,211.46630937338458
s,209.10284550909392
l,208.04566806352878
d,200.57666863321865
n,199.79989989987482
t,188.03191218513948
u,154.44416466801198
m,150.70500987027606
y,133.5402561027947
c,133.0
w,131.18688958886096
thchsh,131.16020738013492
ngntnk,127.27136362905836
g,122.64175471673585
p,118.38074167701434
h,117.90250209389112
k,111.8883371938291
f,104.04326023342406
b,98.97979591815695
v,88.48728722251576
stsmsn,87.24677644474895
trprdr,74.3774159271482
crbrfr,63.92964883369844
plglsl,63.111013301958636
blclfl,62.984124983998946
whquq,52.1344415909483
x,37.16180835212409
j,35.77708763999664
WILD,35.77708763999664
z,27.676705006196094
