letter,count
a,7
b,4
c,4
d,4
e,8
f,6
g,2
h,4
i,3
j,2
k,4
l,5
m,6
n,4
o,6
p,6
q,0
r,6
s,6
t,7
u,2
v,2
w,2
x,0
y,2
z,2
BLANK,3
