letter,count
a,10
b,5
c,6
d,3
e,13
f,1
g,4
h,1
i,4
j,1
k,2
l,4
m,2
n,4
o,7
p,4
q,1
r,6
s,6
t,6
u,3
v,1
w,1
x,1
y,3
z,2
